Date H R DC Retour
2020-04-23 2760 483 1167 4391 
2020-04-22 2816 516 1133 4253 
2020-04-21 2872 551 1103 4089 
2020-04-20 2936 576 1062 3904 
2020-04-19 2983 573 1011 3833 
2020-04-18 2942 578 992 3797 
2020-04-17 2965 601 954 3637 
2020-04-16 2970 628 927 3460 
2020-04-15 3004 639 885 3317 
2020-04-14 3044 659 836 3081 
2020-04-13 3055 671 794 2970 
2020-04-12 3025 674 773 2936 
2020-04-11 2985 682 755 2857 
2020-04-10 2950 698 721 2691 
2020-04-09 2962 720 685 2508 
2020-04-08 2908 736 654 2330 
2020-04-07 2959 755 600 2125 
2020-04-06 3030 783 555 1866 
2020-04-05 2983 779 508 1756 
2020-04-04 2874 749 478 1694 
2020-04-03 2838 725 448 1537 
2020-04-02 2706 700 404 1374 
2020-04-01 2635 672 349 1193 
2020-03-31 2487 624 295 982 
2020-03-30 2333 583 264 842 
2020-03-29 2115 497 227 755 
2020-03-28 1904 432 195 700 
2020-03-27 1638 344 165 606 
2020-03-26 1422 290 134 496 
2020-03-25 1230 258 107 404 
2020-03-24 981 190 86 314 
2020-03-23 853 157 70 254 
2020-03-22 641 106 47 212 
2020-03-21 525 88 38 192 
2020-03-20 463 87 33 179 
2020-03-19 385 79 22 132 
2020-03-18 172 35 7 69
